SITE,STATUS,BAND NUM,COLOR,AGE,HOW AGE,SEX,WG,TL,TAR,NAR,WID,DEP,WT
WHEATON,N,2331-41715,PKX/OBU,AHY,1,F,87,88,28.1,,4.5,5,35.1
WHEATON,N,2331-41716,YX/RW,AHY,1,M,91,100,26.5,,4.2,4.7,32.4
WHEATON,R,2331-41716,YX/RW,AHY,1,M,,,,,,,
WHEATON,N,2331-41717,GX/BUP,AHY,1,M,92,101,26.5,,5.1,5.1,38
WHEATON,N,2331-41718,RX/BUG,AHY,1,M,90,98,27.6,,4.8,5.4,36
WHEATON,N,2331-41719,YX/YG,AHY,1,M,88,95,27.9,,4.6,5.2,34
SILVER SPRING,N,2331-41724,YX/YO,AHY,1,F,87,92,27.1,,4.3,5.1,34.6
WHEATON,N,2331-41726,PKX/BUY,AHY,1,F,89,96,27.8,,4.8,4.8,36.7
WHEATON,N,2331-41727,OX/BUY,AHY,1,F,89,95,28.2,,4.2,4.8,35.2
SLIGO CREEK,N,2331-41731,RX/BUO,AHY,1,F,87,97,26.7,,4.5,4.9,34.9
WHEATON,N,2331-41734,BKX/RO,AHY,1,F,85,92,28.4,,5,4.9,34.8
WHEATON,N,2331-41735,RX/YO,AHY,1,F,91,101,28.3,,4.7,4.7,36.8
WHEATON,N,2331-41736,BUX/BUG,AHY,1,M,92,97,27.9,,4.8,4.7,37.1
WHEATON,N,2331-41737,OX/BUP,AHY,1,M,90,96,27.4,,4.6,4.9,32.7
WHEATON,N,2331-41739,WX/YO,AHY,1,M,88,96,26.4,,4.4,4.7,34.5
WHEATON,R,2331-41739,WX/YO,AHY,,M,89,95,26.8,12.4,4.4,5.1,34.8
WHEATON,N,2331-41742,PX/OW,AHY,1,F,86,92,26.6,,4.3,4.8,32.1
WHEATON,N,2331-41746,BKX/OBK,AHY,1,M,93,98,28.6,,4.5,4.9,39.1
WHEATON,N,2331-41747,RX/OP,AHY,1,M,89,94,27.7,,4.4,5,36
WHEATON,N,2331-41748,GX/OY,SY,LT,M,85,90,27.1,,4.6,4.6,34.6
WHEATON,N,2331-41749,PKX/OY,AHY,1,F,85,91,26.5,,4.4,4.8,33.1
WHEATON,R,2331-41749,PKX/OY,AHY,1,F,,,,,,,
WHEATON,R,2331-41749,PKX/OY,AHY,,F,86,95,26.2,12,4.8,5.1,34.9
WHEATON,N,2331-41750,YX/OG,AHY,1,M,92,96,27.2,,4.6,5.3,35
WHEATON,N,2331-41751,OX/OP,SY,LT,F,86,90,25.5,,4.6,4.9,36.4
WHEATON,N,2331-41756,PKX/YW,AHY,1,F,87,92,27.5,,4.6,4.4,41
SLIGO CREEK,N,2331-41757,YX/BUY,AHY,,F,91,99,27.4,,4.8,5,36
SLIGO CREEK,R,2331-41758,BKX/BUY,AHY,,M,91,102,28.2,12.9,4.6,5.1,37.5
SLIGO CREEK,N,2331-41759,GX/BUO,AHY,,F,89,93,27.3,,5.1,5.3,46.7
SLIGO CREEK,N,2331-41761,PKX/BUG,AHY,,M,89,95,26.9,,4.5,4.8,31.6
SLIGO CREEK,R,2331-41761,PKX/BUG,AHY,,M,,,,,,,
SLIGO CREEK,R,2331-41761,PKX/BUG,AHY,,M,90,95,26.3,11.2,4.6,4.8,32.6
SLIGO CREEK,N,2331-41762,WX/BUG,AHY,,F,86,93,27.2,,4.3,4.9,34.4
