"","tFirst","tSecond","type"
"266",2011-10-21 11:03:00,2011-10-21 22:23:12,1
"267",2011-10-21 22:23:12,2011-10-22 11:03:00,2
"268",2011-10-22 11:03:00,2011-10-22 22:50:00,1
"269",2011-10-22 22:50:00,2011-10-23 10:45:12,2
"270",2011-10-23 10:45:12,2011-10-23 22:37:12,1
"271",2011-10-23 22:37:12,2011-10-24 10:27:00,2
"272",2011-10-24 10:27:00,2011-10-24 22:38:00,1
"273",2011-10-24 22:38:00,2011-10-25 10:25:12,2
"274",2011-10-25 10:25:12,2011-10-25 22:21:12,1
"275",2011-10-25 22:21:12,2011-10-26 10:39:12,2
"276",2011-10-26 10:39:12,2011-10-26 22:17:12,1
"277",2011-10-26 22:17:12,2011-10-27 10:33:00,2
"278",2011-10-27 10:33:00,2011-10-27 22:18:00,1
"279",2011-10-27 22:18:00,2011-10-28 10:32:00,2
"280",2011-10-28 10:32:00,2011-10-28 22:18:00,1
"281",2011-10-28 22:18:00,2011-10-29 10:35:12,2
"282",2011-10-29 10:35:12,2011-10-29 22:20:00,1
"283",2011-10-29 22:20:00,2011-10-30 10:39:00,2
"284",2011-10-30 10:39:00,2011-10-30 22:09:00,1
"285",2011-10-30 22:09:00,2011-10-31 10:34:00,2
"286",2011-10-31 10:34:00,2011-10-31 22:23:00,1
"287",2011-10-31 22:23:00,2011-11-01 10:27:00,2
"288",2011-11-01 10:27:00,2011-11-01 22:21:00,1
"289",2011-11-01 22:21:00,2011-11-02 10:28:00,2
"290",2011-11-02 10:28:00,2011-11-02 22:14:00,1
"291",2011-11-02 22:14:00,2011-11-03 10:34:00,2
"292",2011-11-03 10:34:00,2011-11-03 22:16:00,1
"293",2011-11-03 22:16:00,2011-11-04 10:34:00,2
"294",2011-11-04 10:34:00,2011-11-04 22:17:12,1
"295",2011-11-04 22:17:12,2011-11-05 10:37:12,2
"296",2011-11-05 10:37:12,2011-11-05 22:18:00,1
"297",2011-11-05 22:18:00,2011-11-06 10:35:00,2
"298",2011-11-06 10:35:00,2011-11-06 22:19:12,1
"299",2011-11-06 22:19:12,2011-11-07 10:39:00,2
"300",2011-11-07 10:39:00,2011-11-07 22:19:12,1
"301",2011-11-07 22:19:12,2011-11-08 10:39:00,2
"302",2011-11-08 10:39:00,2011-11-08 22:05:12,1
"303",2011-11-08 22:05:12,2011-11-09 10:40:00,2
"304",2011-11-09 10:40:00,2011-11-09 22:17:12,1
"305",2011-11-09 22:17:12,2011-11-10 10:38:00,2
"306",2011-11-10 10:38:00,2011-11-10 22:06:00,1
"307",2011-11-10 22:06:00,2011-11-11 10:40:00,2
"308",2011-11-11 10:40:00,2011-11-11 22:09:00,1
"309",2011-11-11 22:09:00,2011-11-12 10:40:00,2
"310",2011-11-12 10:40:00,2011-11-12 22:07:00,1
"311",2011-11-12 22:07:00,2011-11-13 10:41:00,2
"312",2011-11-13 10:41:00,2011-11-13 22:07:00,1
"313",2011-11-13 22:07:00,2011-11-14 10:42:00,2
"314",2011-11-14 10:42:00,2011-11-14 22:15:12,1
"315",2011-11-14 22:15:12,2011-11-15 10:42:00,2
"316",2011-11-15 10:42:00,2011-11-15 22:22:00,1
"317",2011-11-15 22:22:00,2011-11-16 10:39:00,2
"318",2011-11-16 10:39:00,2011-11-16 22:16:00,1
"319",2011-11-16 22:16:00,2011-11-17 10:51:12,2
"320",2011-11-17 10:51:12,2011-11-17 22:13:12,1
"321",2011-11-17 22:13:12,2011-11-18 10:45:12,2
"322",2011-11-18 10:45:12,2011-11-18 22:03:12,1
"323",2011-11-18 22:03:12,2011-11-19 10:43:00,2
"324",2011-11-19 10:43:00,2011-11-19 22:20:00,1
"325",2011-11-19 22:20:00,2011-11-20 10:38:00,2
"326",2011-11-20 10:38:00,2011-11-20 22:15:00,1
"327",2011-11-20 22:15:00,2011-11-21 10:47:12,2
"328",2011-11-21 10:47:12,2011-11-21 22:14:00,1
"329",2011-11-21 22:14:00,2011-11-22 10:49:12,2
"330",2011-11-22 10:49:12,2011-11-22 22:15:00,1
"331",2011-11-22 22:15:00,2011-11-23 10:45:00,2
